file_path,total_frames,total_time,avg_fps
/home/sangjunpark/Downloads/lafan1/pushAndFall1_subject1.bvh,4959,108.9099,45.53
/home/sangjunpark/Downloads/lafan1/dance1_subject3.bvh,3945,83.0149,47.52
/home/sangjunpark/Downloads/lafan1/obstacles6_subject1.bvh,7551,177.9102,42.44
/home/sangjunpark/Downloads/lafan1/walk3_subject1.bvh,7399,151.0030,49.00
/home/sangjunpark/Downloads/lafan1/obstacles1_subject2.bvh,5391,108.3538,49.75
/home/sangjunpark/Downloads/lafan1/fallAndGetUp2_subject2.bvh,4918,102.1572,48.14
/home/sangjunpark/Downloads/lafan1/walk2_subject4.bvh,7146,146.3140,48.84
/home/sangjunpark/Downloads/lafan1/obstacles3_subject3.bvh,3933,73.9293,53.20
/home/sangjunpark/Downloads/lafan1/fallAndGetUp2_subject3.bvh,4918,98.7482,49.80
/home/sangjunpark/Downloads/lafan1/walk3_subject3.bvh,7399,146.9017,50.37
/home/sangjunpark/Downloads/lafan1/pushAndFall1_subject4.bvh,4959,119.5067,41.50
/home/sangjunpark/Downloads/lafan1/pushAndStumble1_subject5.bvh,6801,140.0558,48.56
/home/sangjunpark/Downloads/lafan1/aiming1_subject1.bvh,7184,137.6786,52.18
/home/sangjunpark/Downloads/lafan1/ground2_subject2.bvh,5550,128.0969,43.33
/home/sangjunpark/Downloads/lafan1/aiming2_subject5.bvh,9172,178.4829,51.39
/home/sangjunpark/Downloads/lafan1/fightAndSports1_subject4.bvh,7355,158.9261,46.28
/home/sangjunpark/Downloads/lafan1/obstacles1_subject1.bvh,5391,107.5324,50.13
/home/sangjunpark/Downloads/lafan1/pushAndStumble1_subject2.bvh,6801,129.8561,52.37
/home/sangjunpark/Downloads/lafan1/obstacles1_subject5.bvh,5391,96.5339,55.85
/home/sangjunpark/Downloads/lafan1/walk3_subject5.bvh,7399,168.6486,43.87
/home/sangjunpark/Downloads/lafan1/dance2_subject5.bvh,6771,132.8927,50.95
/home/sangjunpark/Downloads/lafan1/multipleActions1_subject2.bvh,4587,87.2751,52.56
/home/sangjunpark/Downloads/lafan1/fallAndGetUp1_subject5.bvh,5047,115.8771,43.55
/home/sangjunpark/Downloads/lafan1/multipleActions1_subject3.bvh,4587,101.2286,45.31
/home/sangjunpark/Downloads/lafan1/run2_subject4.bvh,7345,163.9792,44.79
/home/sangjunpark/Downloads/lafan1/obstacles2_subject2.bvh,7323,140.5446,52.10
/home/sangjunpark/Downloads/lafan1/run1_subject5.bvh,7135,154.9513,46.05
/home/sangjunpark/Downloads/lafan1/fallAndGetUp1_subject1.bvh,5047,119.2525,42.32
/home/sangjunpark/Downloads/lafan1/fallAndGetUp1_subject4.bvh,5047,129.2585,39.05
