filename,total_frames,total_time_seconds,avg_fps
multipleActions1_subject4.npz,4587,127.4500,35.99
walk2_subject4.npz,7146,199.7313,35.78
jumps1_subject1.npz,7334,203.2367,36.09
sprint1_subject4.npz,8194,229.7111,35.67
walk1_subject2.npz,7840,219.3116,35.75
walk2_subject1.npz,7146,198.3568,36.03
obstacles6_subject5.npz,7551,211.0470,35.78
fight1_subject2.npz,7347,202.0180,36.37
ground1_subject1.npz,4742,131.3884,36.09
aiming2_subject2.npz,9172,256.6615,35.74
jumps1_subject5.npz,7334,203.1031,36.11
pushAndStumble1_subject2.npz,6801,188.1433,36.15
dance2_subject2.npz,6771,186.3911,36.33
obstacles4_subject2.npz,7401,204.1087,36.26
run1_subject2.npz,7135,197.1740,36.19
dance2_subject5.npz,6771,187.1308,36.18
walk1_subject5.npz,7840,218.6529,35.86
fallAndGetUp1_subject1.npz,5047,141.9020,35.57
walk3_subject4.npz,7399,206.2011,35.88
dance1_subject1.npz,3945,111.7047,35.32
aiming1_subject4.npz,7184,198.4032,36.21
walk4_subject1.npz,4918,135.4801,36.30
sprint1_subject2.npz,8194,228.2479,35.90
aiming1_subject1.npz,7184,192.3778,37.34
dance1_subject2.npz,3945,109.7329,35.95
ground2_subject2.npz,5550,155.9052,35.60
obstacles3_subject3.npz,3933,111.3647,35.32
walk1_subject1.npz,7840,218.0014,35.96
dance2_subject1.npz,6771,186.3385,36.34
multipleActions1_subject1.npz,4587,126.6778,36.21
obstacles2_subject5.npz,7323,202.6972,36.13
ground1_subject5.npz,4742,132.2955,35.84
walk3_subject3.npz,7399,206.2674,35.87
walk3_subject5.npz,7399,205.6783,35.97
dance2_subject4.npz,6771,188.1036,36.00
run1_subject5.npz,7135,196.5165,36.31
pushAndFall1_subject4.npz,4959,138.0880,35.91
dance1_subject3.npz,3945,111.1393,35.50
fight1_subject3.npz,7347,203.2948,36.14
run2_subject1.npz,7345,205.0475,35.82
fallAndGetUp2_subject2.npz,4918,137.3655,35.80
fightAndSports1_subject4.npz,7355,202.1573,36.38
obstacles3_subject4.npz,3933,109.1325,36.04
dance2_subject3.npz,6771,188.8313,35.86
fight1_subject5.npz,7347,204.5095,35.92
ground2_subject3.npz,5550,155.4019,35.71
obstacles5_subject3.npz,7386,204.5916,36.10
run2_subject4.npz,7345,199.9779,36.73
obstacles1_subject5.npz,5391,150.3912,35.85
obstacles4_subject4.npz,7401,206.2811,35.88
pushAndStumble1_subject5.npz,6801,187.5818,36.26
aiming2_subject3.npz,9172,256.2883,35.79
obstacles4_subject3.npz,7401,203.3453,36.40
obstacles1_subject1.npz,5391,148.1244,36.40
obstacles2_subject2.npz,7323,200.7962,36.47
obstacles5_subject2.npz,7386,203.0275,36.38
obstacles6_subject1.npz,7551,208.6230,36.19
fallAndGetUp1_subject5.npz,5047,138.8609,36.35
obstacles1_subject2.npz,5391,148.1415,36.39
jumps1_subject2.npz,7334,202.5478,36.21
ground1_subject4.npz,4742,132.1308,35.89
walk2_subject3.npz,7146,197.0461,36.27
walk3_subject1.npz,7399,203.6175,36.34
fallAndGetUp1_subject4.npz,5047,141.1899,35.75
pushAndStumble1_subject3.npz,6801,189.0171,35.98
obstacles2_subject1.npz,7323,202.1829,36.22
push1_subject2.npz,3066,86.0124,35.65
aiming2_subject5.npz,9172,255.8026,35.86
fallAndGetUp2_subject3.npz,4918,135.4794,36.30
obstacles5_subject4.npz,7386,202.4073,36.49
walk3_subject2.npz,7399,203.3130,36.39
multipleActions1_subject2.npz,4587,126.4759,36.27
fightAndSports1_subject1.npz,7355,202.1096,36.39
fallAndGetUp3_subject1.npz,3066,86.1688,35.58
multipleActions1_subject3.npz,4587,125.4598,36.56
obstacles6_subject4.npz,7551,209.6827,36.01
pushAndFall1_subject1.npz,4959,137.8519,35.97
